DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/25/2017,10:00,BRONX,10451,,,,,,264       E 143rd St                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,3757335,,,,,
09/25/2017,0:00,BROOKLYN,11210,40.636326,-73.958405,"(40.636326, -73.958405)",OCEAN AVENUE                    ,FOSTER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3757470,PASSENGER VEHICLE,,,,
09/25/2017,0:00,BROOKLYN,11216,40.675385,-73.95337,"(40.675385, -73.95337)",SAINT MARKS AVENUE              ,BEDFORD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3757401,PASSENGER VEHICLE,,,,
09/25/2017,0:00,BROOKLYN,11217,40.68529,-73.976204,"(40.68529, -73.976204)",HANSON PLACE                    ,FORT GREENE PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3757719,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,0:00,BROOKLYN,11237,40.713966,-73.92454,"(40.713966, -73.92454)",METROPOLITAN AVENUE             ,SCOTT AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Turning Improperly,,,,3757316,PASSENGER VEHICLE,,,,
09/25/2017,0:00,QUEENS,11369,40.75896,-73.85909,"(40.75896, -73.85909)",,,32-54     111 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,3758659,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,0:00,QUEENS,11432,40.70665,-73.79805,"(40.70665, -73.79805)",,,89-34     163 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3757137,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,0:00,,,40.678238,-73.94415,"(40.678238, -73.94415)",ATLANTIC AVENUE                 ,,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3758986,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,0:00,,,40.622875,-73.96014,"(40.622875, -73.96014)",AVENUE K                        ,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3757720,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,0:00,,,40.824432,-73.873604,"(40.824432, -73.873604)",BRUCKNER BOULEVARD              ,MORRISON AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3757819,PASSENGER VEHICLE,,,,
09/25/2017,0:00,,,40.590706,-74.165794,"(40.590706, -74.165794)",RICHMOND AVENUE                 ,NOME AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3757132,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,0:27,MANHATTAN,10006,40.70983,-74.01468,"(40.70983, -74.01468)",WEST STREET                     ,ALBANY STREET,,0,0,0,0,0,0,0,0,Following Too Closely,,,,,3756827,PASSENGER VEHICLE,,,,
09/25/2017,0:30,BROOKLYN,11224,40.575573,-73.99432,"(40.575573, -73.99432)",MERMAID AVENUE                  ,WEST 28 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3756665,,,,,
09/25/2017,0:30,,,40.74835,-73.967865,"(40.74835, -73.967865)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3757396,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,0:45,MANHATTAN,10033,40.846153,-73.932335,"(40.846153, -73.932335)",WEST 178 STREET                 ,AMSTERDAM AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3757727,PASSENGER VEHICLE,TAXI,,,
09/25/2017,0:47,,,40.84091,-73.904755,"(40.84091, -73.904755)",WEBSTER AVENUE                  ,CLAY AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3756944,SPORT UTILITY / STATION WAGON,TAXI,,,
09/25/2017,0:50,,,40.640152,-74.13701,"(40.640152, -74.13701)",,,2217      RICHMOND TERRACE              ,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,,,,3758228,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
09/25/2017,0:55,,,40.72119,-73.99849,"(40.72119, -73.99849)",BROOME STREET                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3756901,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,0:55,BRONX,10473,40.82449,-73.85893,"(40.82449, -73.85893)",,,905       WHITE PLAINS ROAD             ,1,0,1,0,0,0,0,0,Unspecified,,,,,3756497,PASSENGER VEHICLE,,,,
09/25/2017,10:00,BRONX,10458,40.852947,-73.88879,"(40.852947, -73.88879)",,,611       EAST 183 STREET               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3756975,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,10:00,BROOKLYN,11207,,,,Livonia Ave                     ,van sinderen,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3757486,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/25/2017,10:00,BROOKLYN,11213,40.670414,-73.92777,"(40.670414, -73.92777)",,,1505      SAINT JOHNS PLACE             ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3759339,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,10:00,BROOKLYN,11218,40.647297,-73.9803,"(40.647297, -73.9803)",MC DONALD AVENUE                ,CATON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3757043,PASSENGER VEHICLE,,,,
09/25/2017,10:00,MANHATTAN,10016,40.75022,-73.979065,"(40.75022, -73.979065)",PARK AVENUE                     ,EAST 39 STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,,,,,3756924,PICK-UP TRUCK,,,,
09/25/2017,10:00,MANHATTAN,10024,40.782528,-73.975075,"(40.782528, -73.975075)",,,416       COLUMBUS AVENUE               ,0,0,0,0,0,0,0,0,Glare,Unspecified,,,,3757168,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
09/25/2017,10:00,MANHATTAN,10036,40.75484,-73.98412,"(40.75484, -73.98412)",WEST 42 STREET                  ,AVENUE OF THE AMERICAS,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3757572,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,10:00,MANHATTAN,10038,40.71022,-74.00775,"(40.71022, -74.00775)",FULTON STREET                   ,NASSAU STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3756985,PICK-UP TRUCK,PICK-UP TRUCK,,,
09/25/2017,10:00,QUEENS,11377,40.741863,-73.90751,"(40.741863, -73.90751)",58 STREET                       ,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3759012,SPORT UTILITY / STATION WAGON,,,,
09/25/2017,10:00,,,40.82542,-73.8241,"(40.82542, -73.8241)",CALHOUN AVENUE                  ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3758473,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,10:00,,,40.776077,-73.91065,"(40.776077, -73.91065)",DITMARS BOULEVARD               ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3757016,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,10:00,,,40.720005,-73.78463,"(40.720005, -73.78463)",,,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3756895,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,10:00,,,40.742016,-73.83982,"(40.742016, -73.83982)",,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Following Too Closely,Following Too Closely,,,3757052,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
09/25/2017,10:05,BRONX,10453,40.853813,-73.90734,"(40.853813, -73.90734)",JEROME AVENUE                   ,EAST BURNSIDE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3757577,PICK-UP TRUCK,PASSENGER VEHICLE,,,
09/25/2017,10:08,QUEENS,11377,40.753403,-73.90587,"(40.753403, -73.90587)",NORTHERN BOULEVARD              ,55 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3757015,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,10:09,,,40.6097,-74.02479,"(40.6097, -74.02479)",POLY PLACE                      ,7 AVENUE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3757440,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,10:10,,,40.603184,-74.162834,"(40.603184, -74.162834)",,,1837      RICHMOND AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3757362,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,10:10,QUEENS,11385,,,,Myrtle Ave                      ,GEORGE STREET,,1,0,0,0,1,0,0,0,Unspecified,,,,,3758576,BICYCLE,PASSENGER VEHICLE,,,
09/25/2017,10:15,BROOKLYN,11216,40.677025,-73.95268,"(40.677025, -73.95268)",DEAN STREET                     ,ROGERS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3757400,PASSENGER VEHICLE,,,,
09/25/2017,10:15,MANHATTAN,10031,,,,west 136 street                 ,amsterdam avenue ,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3757079,PASSENGER VEHICLE,PICK-UP TRUCK,,,
09/25/2017,10:15,QUEENS,11379,40.712727,-73.87935,"(40.712727, -73.87935)",METROPOLITAN AVENUE             ,73 PLACE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3758577,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,10:17,,,40.58945,-73.960526,"(40.58945, -73.960526)",AVENUE Y                        ,,,1,0,0,0,1,0,0,0,Unsafe Speed,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3757310,PASSENGER VEHICLE,BICYCLE,,,
09/25/2017,10:20,MANHATTAN,10030,40.821014,-73.94358,"(40.821014, -73.94358)",,,306       WEST 142 STREET               ,0,0,0,0,0,0,0,0,Glare,Unspecified,,,,3757617,PICK-UP TRUCK,PASSENGER VEHICLE,,,
09/25/2017,10:20,QUEENS,11373,40.748466,-73.87352,"(40.748466, -73.87352)",ASKE STREET                     ,WHITNEY AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3757428,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,10:20,,,40.80293,-73.96759,"(40.80293, -73.96759)",BROADWAY                        ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3758117,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/25/2017,10:20,,,40.737694,-73.98049,"(40.737694, -73.98049)",EAST 23 STREET                  ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3757523,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/25/2017,10:25,MANHATTAN,10036,40.758217,-73.98907,"(40.758217, -73.98907)",,,688       8 AVENUE                      ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3758163,PASSENGER VEHICLE,PICK-UP TRUCK,,,
